brand,title,price,final_resale_price,n_likes,limited,model,condition,m_model,material,color,sold_out,description,mean_retail_price
Louis Vuitton,Neverfull cloth handbag,1787.1,1787.1,52.0,1,neverfull,Very good condition,Neverfull,Cloth,Other,1.0,,1070.0
Louis Vuitton,Twist leather handbag,1523.53,1432.12,49.0,1,twist,Very good condition,Twist,Leather,Blue,1.0,,2600.0
Louis Vuitton,Keepall cloth bag,1965.81,1965.81,101.0,1,keepall,Very good condition,Keepall,Cloth,Other,1.0,,1850.0
Louis Vuitton,Speedy leather handbag,2360.71,2360.71,11.0,1,speedy,Very good condition,Speedy,Cloth,Orange,1.0,,1790.0
Louis Vuitton,Speedy leather handbag,1295.65,1071.37,9.0,1,speedy,Very good condition,Speedy,Leather,Black,1.0,,1790.0
Louis Vuitton,Alma patent leather handbag,893.55,864.96,11.0,1,alma,Good condition,Alma,Patent leather,Pink,1.0,,1810.0
Louis Vuitton,Neverfull cloth clutch bag,527.19,491.45,80.0,1,neverfull,Never worn,Neverfull,Cloth,Orange,1.0,,1070.0
Louis Vuitton,Speedy cloth handbag,1116.94,777.39,62.0,1,speedy,Good condition,Speedy,Cloth,Burgundy,1.0,,1790.0
Louis Vuitton,Twist leather crossbody bag,2233.88,1250.97,58.0,1,twist,Very good condition,Twist,Leather,Navy,1.0,,2600.0
Louis Vuitton,Speedy cloth handbag,1385.0,1072.26,39.0,1,speedy,Very good condition,Speedy,Cloth,Brown,1.0,,1790.0
Louis Vuitton,Pochette Accessoire cloth handbag,616.55,437.84,37.0,1,pochette,Very good condition,Pochette Accessoire,Cloth,Beige,1.0,,660.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,491.45,491.45,31.0,1,pochette,Good condition,Pochette Accessoire,Cloth,Brown,1.0,,660.0
Louis Vuitton,Speedy leather handbag,1340.33,1309.35,6.0,1,speedy,Very good condition,Speedy,Leather,Silver,1.0,,1790.0
Louis Vuitton,Speedy cloth handbag,1385.0,1358.2,17.0,1,speedy,Very good condition,Speedy,Cloth,Multicolour,1.0,,1790.0
Louis Vuitton,Capucines python crossbody bag,7148.4,7148.4,24.0,1,capucines,Very good condition,Capucines,Exotic leathers,Green,1.0,,6900.0
